Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,user_message,bot_message,user_session,Spreadsheet: display,Manipulation: Spreadsheet
1,1736160920061,06/01/2025 10:55:20,1736160920061,0,06/01/2025 10:55:20,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,
2,1736160923587,06/01/2025 10:55:23,1736160923587,0,06/01/2025 10:55:23,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,,,
3,1736160923670,06/01/2025 10:55:23,1736160923670,0,06/01/2025 10:55:23,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-ff0eba0b-959e-470d-b43e-992fd3fafb69,,
4,1736160923761,06/01/2025 10:55:23,1736160923761,0,06/01/2025 10:55:23,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-8d7fe37d-df3c-4808-9fd3-ed5e6eab74cf,,
5,1736160923855,06/01/2025 10:55:23,1736160923855,0,06/01/2025 10:55:23,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,8,,,,
6,1736160927294,06/01/2025 10:55:27,1736160927294,0,06/01/2025 10:55:27,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Hi Anna,

My name is Penny, and I'm your AI financial companion from Lloyds Bank.  We noticed you have a significant amount of cash in your account, and I wanted to reach out and see if you'd be open to exploring some options to help your money grow.

It's great that you've saved so diligently!  Many people find it hard to save, so well done.  To help your savings work harder for you, we could look at things like ISAs, different savings accounts, and even investment options available through Lloyds.  Would you like to explore these possibilities together?  There's no pressure at all, but I'm here to help you understand what might be a good fit for your situation.
",,,
7,1736160954910,06/01/2025 10:55:54,1736160954910,0,06/01/2025 10:55:54,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"Sure, I'd love to explore some options to help our money grow. What kind of ISAs or investment options do you recommend?",,,,
8,1736160956975,06/01/2025 10:55:56,1736160956975,0,06/01/2025 10:55:56,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"That's great you're keen to explore options!  Let's start with ISAs.  There are different types: Cash ISAs, which offer a safe place to save with interest, and Stocks and Shares ISAs, which invest your money in the stock market, potentially offering higher returns but also carrying more risk.  Which type sounds more appealing at this stage?
",,,
9,1736160987097,06/01/2025 10:56:27,1736160987097,0,06/01/2025 10:56:27,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"I'm interested in learning more about Stocks and Shares ISAs. What kind of returns could we potentially see, and what are the risks involved?",,,,
10,1736160994330,06/01/2025 10:56:34,1736160994330,0,06/01/2025 10:56:34,0,0,,,42288817,,12345997,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Stocks and Shares ISAs offer a tax-efficient way to invest in the stock market.  Potential returns can be higher than Cash ISAs, but they also carry more risk; your investments could go down as well as up, and you might get back less than you invested.  It's generally recommended to invest for the long term (5+ years) to mitigate risk.  

Would you like me to share a link to learn more about Stocks and Shares ISAs on the Lloyds Bank website?
",,,
