Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,user_message,bot_message,user_session,Spreadsheet: display,Manipulation: Spreadsheet
1,1736428344010,09/01/2025 13:12:24,1736428344010,0,09/01/2025 13:12:24,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,
2,1736428347796,09/01/2025 13:12:27,1736428347796,0,09/01/2025 13:12:27,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,,,
3,1736428347872,09/01/2025 13:12:27,1736428347872,0,09/01/2025 13:12:27,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-ec35c11f-a0b7-45a9-8cbe-42056a98278a,,
4,1736428347901,09/01/2025 13:12:27,1736428347901,0,09/01/2025 13:12:27,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-158d2bb0-efe6-44f1-8ca3-4926a9dfd892,,
5,1736428348004,09/01/2025 13:12:28,1736428348004,0,09/01/2025 13:12:28,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,8,,,,
6,1736428350353,09/01/2025 13:12:30,1736428350353,0,09/01/2025 13:12:30,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Hi Anna, my name is Penny, and I'm your AI financial companion from Lloyds Bank.  We noticed you have a significant amount of cash in your account, and I wanted to reach out and see if you'd be open to exploring some options to help your money grow.  It's great you've saved so diligently!  Would you be interested in learning more about products like ISAs, investments, and other savings plans we offer at Lloyds?  These could help your money work a little harder for you.
",,,
7,1736428413558,09/01/2025 13:13:33,1736428413558,0,09/01/2025 13:13:33,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"Sure, I'd love to learn more about ISAs.",,,,
8,1736428415276,09/01/2025 13:13:35,1736428415276,0,09/01/2025 13:13:35,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"That's great you're interested in ISAs!  ISAs are savings accounts that offer tax advantages on the interest you earn.  There are different types, like Cash ISAs, which offer a safe place to save your money and earn interest, and Stocks and Shares ISAs, which invest your money in the stock market, potentially offering higher returns but also carrying more risk.  Which type of ISA sounds most appealing to you right now, a Cash ISA or a Stocks and Shares ISA?
",,,
9,1736428444776,09/01/2025 13:14:04,1736428444776,0,09/01/2025 13:14:04,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,A Cash ISA sounds good to me.,,,,
10,1736428451420,09/01/2025 13:14:11,1736428451420,0,09/01/2025 13:14:11,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"A Cash ISA sounds good to me.
That's great! A Cash ISA is a savings account that allows you to earn tax-free interest on your savings.  You can deposit money and earn interest, up to the annual allowance of £20,000.  You can withdraw money, although charges may apply depending on the type of Cash ISA. Lloyds Bank offers several types, each with different features like interest rates and access options.  Would you like me to share a link to learn more about Cash ISAs on the Lloyds Bank website?
",,,
11,1736428476056,09/01/2025 13:14:36,1736428476056,0,09/01/2025 13:14:36,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"Yes, please share the link.",,,,
12,1736428483731,09/01/2025 13:14:43,1736428483731,0,09/01/2025 13:14:43,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,Here is the link you requested:,,,
13,1736428507554,09/01/2025 13:15:07,1736428507554,0,09/01/2025 13:15:07,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,I would like to do a digi-advice journey.,,,,
14,1736428508215,09/01/2025 13:15:08,1736428508215,0,09/01/2025 13:15:08,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,Your easy access cash savings which I can see in your LBG accounts of £50000 is larger than the value I have picked up over the course of our conversation. Is £50000 all of your total easy access cash savings including savings in accounts outside of Lloyds Banking Group? Please reply with either yes or no.,,,
15,1736428538838,09/01/2025 13:15:38,1736428538838,0,09/01/2025 13:15:38,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,No.,,,,
16,1736428539313,09/01/2025 13:15:39,1736428539313,0,09/01/2025 13:15:39,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Can you please tell me your current total instant access cash savings? This includes the money you have in current accounts, instant access savings accounts and instant access saving ISAs. Please enter only one number",,,
17,1736428570120,09/01/2025 13:16:10,1736428570120,0,09/01/2025 13:16:10,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"£22,000.",,,,
18,1736428570574,09/01/2025 13:16:10,1736428570574,0,09/01/2025 13:16:10,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,Can you please tell me your current total cash in fixed rate savings accounts? This includes the money you have in fixed rate savings accounts and fixed rate saving ISAs. Please enter only one number,,,
19,1736428601467,09/01/2025 13:16:41,1736428601467,0,09/01/2025 13:16:41,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,£0.,,,,
20,1736428601931,09/01/2025 13:16:41,1736428601931,0,09/01/2025 13:16:41,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,Can you please tell me your current total overdraft debt? This includes both debt you have with Lloyds Banking Group and other current account providers. Please enter only one number,,,
21,1736428632807,09/01/2025 13:17:12,1736428632807,0,09/01/2025 13:17:12,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,£0.,,,,
22,1736428633243,09/01/2025 13:17:13,1736428633243,0,09/01/2025 13:17:13,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,Can you please tell me your total current credit card debt? This includes both debt you have with Lloyds Banking Group and other credit card providers. Please enter only one number,,,
23,1736428664093,09/01/2025 13:17:44,1736428664093,0,09/01/2025 13:17:44,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,£0.,,,,
24,1736428664600,09/01/2025 13:17:44,1736428664600,0,09/01/2025 13:17:44,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,Can you please tell me your current total loans debt? This includes both debt you have with Lloyds Banking Group and other loan providers. Please enter only one number,,,
25,1736428695464,09/01/2025 13:18:15,1736428695464,0,09/01/2025 13:18:15,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"£6,700.",,,,
26,1736428695937,09/01/2025 13:18:15,1736428695937,0,09/01/2025 13:18:15,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"We have noticed from your Lloyds Banking Group accounts that you have an average monthly income of £9400, is this your average monthly total income over all of your accounts? Please reply either yes or no",,,
27,1736428726728,09/01/2025 13:18:46,1736428726728,0,09/01/2025 13:18:46,0,0,,,42364192,,12365742,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,No.,,,,
