Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,user_message,bot_message,user_session,Spreadsheet: display,Manipulation: Spreadsheet
1,1736421277721,09/01/2025 11:14:37,1736421277721,0,09/01/2025 11:14:37,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,
2,1736421280977,09/01/2025 11:14:40,1736421280977,0,09/01/2025 11:14:40,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,,,
3,1736421281066,09/01/2025 11:14:41,1736421281066,0,09/01/2025 11:14:41,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-3e5d8e81-90ef-41d4-a2f2-1f9da69ca20a,,
4,1736421281077,09/01/2025 11:14:41,1736421281077,0,09/01/2025 11:14:41,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-431dc4c0-bf1a-4bf2-8422-c06220e6c034,,
5,1736421281176,09/01/2025 11:14:41,1736421281176,0,09/01/2025 11:14:41,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,8,,,,
6,1736421285581,09/01/2025 11:14:45,1736421285581,0,09/01/2025 11:14:45,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Hi Anna,

My name is Penny, and I'm your AI financial companion from Lloyds Bank.  We noticed you have a significant amount of cash in your account, and I wanted to reach out and see if you'd be open to exploring some options to help your money grow.

It's great that you've saved so diligently!  Many people find it hard to save, so well done.  We understand that investing can seem a bit daunting, but it could be a good way to make your money work harder for you.  I can introduce you to some Lloyds Bank products like ISAs, different investment options, and savings accounts –  we can explore what might be a good fit for your circumstances, without any pressure.  Would you like to hear a little more about these?
",,,
7,1736421312268,09/01/2025 11:15:12,1736421312268,0,09/01/2025 11:15:12,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"Sure, I'd love to hear more about the options.",,,,
8,1736421315158,09/01/2025 11:15:15,1736421315158,0,09/01/2025 11:15:15,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Okay, let's explore some options to help your money grow.  We've discussed investing in general, and you have a significant amount of instant access savings.  One option is a Lloyds Bank ISA, which offers tax advantages on your savings and investments.  ISAs come in different types – Cash ISAs, which are like high-interest savings accounts, and Stocks and Shares ISAs, which invest your money in the stock market.  Another option is a regular savings account, which allows you to save a set amount each month and earn interest.  Finally, there are different investment options available through Lloyds Bank, but these can be more complex and involve more risk.

Would you like to learn more about Cash ISAs or Stocks and Shares ISAs first?
",,,
9,1736421346517,09/01/2025 11:15:46,1736421346517,0,09/01/2025 11:15:46,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,I'd like to learn more about Cash ISAs first.,,,,
10,1736421354554,09/01/2025 11:15:54,1736421354554,0,09/01/2025 11:15:54,0,0,,,42360472,,12365042,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,968x980,,,0,React App Lucy testing Anna,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"A Cash ISA is a type of savings account that allows you to earn tax-free interest on your savings. The main difference between a regular savings account and a Cash ISA is that you can deposit money and earn tax-free interest. This can help grow your savings without having to pay tax on them.  Cash ISAs count towards your overall ISA allowance, which is currently £20,000.  You can only pay into one Cash ISA with Lloyds Bank in each tax year.  You can withdraw money from a Cash ISA, but the terms of your account will determine whether there are any charges or fees.  Cash ISAs with reputable banks and building societies are protected by the Financial Services Compensation Scheme (FSCS).  This means that up to £85,000 per person, per provider is protected.

Would you like me to share a link to learn more about Cash ISAs on the Lloyds Bank website?
",,,
