Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,user_message,bot_message,user_session,Spreadsheet: display,Manipulation: Spreadsheet
1,1736186741939,06/01/2025 18:05:41,1736186741939,0,06/01/2025 18:05:41,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,
2,1736186745517,06/01/2025 18:05:45,1736186745517,0,06/01/2025 18:05:45,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,,,
3,1736186745595,06/01/2025 18:05:45,1736186745595,0,06/01/2025 18:05:45,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-d5c7f1f5-8e96-479c-8be4-a577afdae46b,,
4,1736186745637,06/01/2025 18:05:45,1736186745637,0,06/01/2025 18:05:45,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,,dfMessenger-8b73d41a-d791-4b1a-9476-28ae45089e33,,
5,1736186745735,06/01/2025 18:05:45,1736186745735,0,06/01/2025 18:05:45,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,7,,,,
6,1736186750817,06/01/2025 18:05:50,1736186750817,0,06/01/2025 18:05:50,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Hi Sammy, my name is Penny, and I'm your AI financial companion from Lloyds Bank.  We've noticed you have a significant amount of cash in your account, and I wanted to reach out and see if you'd be open to exploring some options to help your money grow.  It's great that you've saved so diligently!  We can talk about things like ISAs, different investment options, and savings accounts offered by Lloyds to help you understand how your money could work a little harder for you. Would you like to explore these possibilities together?
",,,
7,1736186776807,06/01/2025 18:06:16,1736186776807,0,06/01/2025 18:06:16,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"That sounds like a great idea, Penny! I'm definitely interested in exploring options to make my money work harder. Could you tell me more about ISAs and the different investment options available? I'd love to understand how they could benefit me.",,,,
8,1736186780172,06/01/2025 18:06:20,1736186780172,0,06/01/2025 18:06:20,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Okay, let's explore ISAs and investment options.  ISAs, or Individual Savings Accounts, offer tax advantages on your savings and investments.  There are different types, like Cash ISAs (for savings) and Stocks and Shares ISAs (for investing in the stock market).  Investment options within Lloyds Bank can range from simple savings accounts to more complex investments like funds or shares.  These options carry varying levels of risk and potential return.  It's important to consider your risk tolerance and financial goals when choosing an investment.  Do you have a particular timeframe in mind for your investments, such as saving for retirement or a specific purchase?
",,,
9,1736186811087,06/01/2025 18:06:51,1736186811087,0,06/01/2025 18:06:51,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,I'm thinking about saving for a specific purchase in the next 3-5 years. What would you recommend for that timeframe?,,,,
10,1736186817230,06/01/2025 18:06:57,1736186817230,0,06/01/2025 18:06:57,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"For a 3-5 year timeframe, a Cash ISA might be suitable for your savings goal.  Cash ISAs offer tax-free interest, helping your money grow.  Stocks and Shares ISAs are also an option, but remember investments can go down as well as up.

Would you like me to share a link to learn more about Cash ISAs on the Lloyds Bank website?
",,,
11,1736186842244,06/01/2025 18:07:22,1736186842244,0,06/01/2025 18:07:22,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,"Yes, please! I'd love to learn more about Cash ISAs. Thanks, Penny!",,,,
12,1736186849768,06/01/2025 18:07:29,1736186849768,0,06/01/2025 18:07:29,0,0,,,42298439,,12348337,,live,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2048x1112,1014x980,,,0,React App Lucy testing Sammy,3,Spreadsheet1,Spreadsheet1,,,,,,,,,,,,,,0,,,,,,,,,,"Yes, please! I'd love to learn more about Cash ISAs. Thanks, Penny!

You can earn tax-free interest on your savings with a Cash ISA. Lloyds Bank offers a variety of Cash ISAs, including Instant Access Cash ISAs, Fixed Rate Cash ISAs, and Club Lloyds Advantage ISA Saver.  You can choose the option that best suits your needs.  For example, a Fixed Rate Cash ISA offers a higher interest rate but may have charges for withdrawals.  An Instant Access Cash ISA allows you to withdraw your money at any time.  The Club Lloyds Advantage ISA Saver offers a higher interest rate if you make fewer withdrawals.  You can also transfer your existing ISA to a different type of ISA.

Would you like me to share a link to learn more about Cash ISAs on the Lloyds Bank website?
",,,
